id,Actual,SVM,ANN
134,84.69,57.3530508456,57.7080180124
135,84.23,56.9028834191,57.7078885311
136,82.28,55.246007643,57.707429589
137,82.82,51.5795190799,57.7046210272
138,81.65,53.2771529848,57.7074113277
139,80.21,52.0772725839,57.7046681751
140,79.49,55.1684592796,57.7030627512
141,80.53,60.3703563194,57.7061450565
142,81.84,55.8528691891,57.7030230162
143,81.93,53.6030444373,57.7029627624
144,81.85,54.4875788224,57.7027234683
145,80.39,54.7464682231,57.7021498811
146,80.05,52.3483036018,57.6778811799
147,80.04,55.9170263294,57.5928215087
148,79.54,55.714282787,57.599699605
149,78.98,56.7170333938,57.5906597431
150,78.97,57.9312804764,57.5882051329
151,78.87,60.1234974954,57.5870477332
152,79.0,60.1901647383,57.5869436304
153,78.99,58.160865565,57.586897219
154,79.35,57.2430264926,57.586999816
155,78.98,56.9225046541,57.5870839161
156,80.3,60.4184263224,57.5866632359
157,80.87,57.9220626883,57.5870284847
158,80.66,55.0093694061,57.6596101649
159,78.4,56.3372568802,57.6368234324
160,75.28,58.1162730285,57.5670650655
161,73.94,56.68749083,44.7843882265
162,76.84,57.6099231038,44.413820595
163,77.85,57.3090228047,49.3394160098
164,78.03,57.3822052637,53.4848956629
165,77.71,58.6526711018,56.3264065258
166,75.39,55.7172351204,57.1487233185
167,77.05,56.0784220539,47.7983394575
168,77.45,55.6836497253,50.8038654358
169,76.42,57.2694930975,54.0487515491
170,78.38,56.3620341118,50.8608151921
171,77.16,57.4144164751,57.3845731788
172,77.07,57.9086780765,56.6220744266
173,77.88,56.3958529402,54.2695953297
174,77.15,56.7770014189,53.6079410434
175,77.82,57.788687673,54.5440784293
176,78.5,57.7712192996,57.1198463969
177,78.01,57.4170056232,57.5349162367
178,76.62,57.1845059144,57.5502636298
179,78.26,55.9581267844,57.0908536773
180,78.05,57.2200097566,57.3050932218
181,78.76,57.0144083444,57.379693666
182,79.06,57.3490034501,57.4957506712
183,79.05,58.6802543554,57.6392278829
184,77.67,58.5997226092,57.6595704743
185,77.98,57.5158039949,56.7358408943
186,78.66,57.4150744231,55.4740666186
187,79.51,59.2824140225,57.6549667892
188,79.53,59.862972538,57.6706771858
189,79.51,62.4658487978,54.5279947687
190,78.1,59.3812657944,57.5945280034
191,78.56,59.2888970719,54.9189727927
192,78.69,62.236965151,54.897398084
193,78.88,60.5366150572,57.5906840097
194,79.21,63.6353283553,56.6185799775
195,78.96,56.6390194519,55.4983782775
196,76.2,61.0724557315,57.6708535448
197,75.13,58.9671820586,52.5538002074
198,75.05,57.4742212736,48.565485862
199,74.7,56.7906170953,50.293013659
200,74.4,56.5294550652,51.3613082866
201,76.4,56.7152958728,51.6372042546
202,77.11,54.6809387695,51.712924757
203,72.94,56.2016696022,53.3712591531
204,74.02,55.360065386,51.0150275808
205,74.73,57.6121810115,49.9896294892
206,76.23,57.598919043,50.2817405198
207,76.28,56.8982315798,52.2212503361
208,77.18,55.8716169604,53.2563975967
209,77.26,56.0981498615,53.2897798978
210,78.23,56.8781813273,56.5582444772
211,77.39,58.572085232,57.6049960045
212,78.15,57.6631956775,57.6361396487
213,77.22,59.2890899627,57.6421196252
214,76.23,58.7628072226,57.7127073598
215,77.19,56.8360202499,54.0000244154
216,74.87,57.7979612607,57.325709047
217,74.93,56.598210072,46.7059926241
218,71.89,57.6382226039,50.572241934
219,72.31,57.8618491311,47.5224423561
220,72.91,57.5913359059,45.2844164096
221,69.78,57.1369987414,45.371747524
222,70.55,57.2862301438,47.3382066033
223,70.83,57.4925329199,46.8145925061
224,72.28,57.4628231247,47.2562369623
225,72.89,57.3465966603,46.1213676736
226,73.16,57.0739319024,46.8559124915
227,73.44,56.7751833162,46.1484172663
228,72.5,56.9589041794,45.2709651939
229,72.81,57.1536158592,46.5979748914
230,71.93,57.3803823571,46.2988711993
231,73.19,57.4181000062,46.9913328267
232,73.9,57.0615699742,43.0788476487
233,73.39,55.7645003635,47.3581006877
234,72.66,55.2829378928,47.2766642768
235,72.01,55.98472627,46.4482336038
236,72.37,56.273850048,46.3434509866
237,71.84,55.6140317725,46.6412353018
238,72.72,55.8515906911,44.7184782586
239,72.98,55.2351314085,45.780829801
240,73.8,54.2853900788,48.049103106
241,72.33,54.4453859316,49.3358452959
242,71.37,55.2877940517,48.3051797868
243,71.71,56.1940436279,47.2414545297
244,72.61,56.2283617086,45.7847105837
245,73.65,55.6285851061,47.1298419691
246,73.17,54.9146529003,49.3985448119
247,72.87,54.8764528129,49.3928218792
248,74.44,55.7360067672,40.3574997973
249,73.62,54.5699774855,47.5585308174
250,72.61,54.6454133062,49.6569156783
