id,Actual,SVM,ANN
82,77.32,37.3555237487,44.5663624114
83,75.56,35.3522105099,44.6312552605
84,76.1,37.9466768316,44.6961236372
85,76.71,35.780008402,44.5476247728
86,76.66,35.1640536145,44.5330592558
87,77.45,38.3486639852,44.7282144274
88,77.79,38.697908116,44.8142424335
89,77.65,35.5648351127,44.8538169042
90,77.73,38.5075482128,44.8511804805
91,77.85,36.1934685285,41.0670073954
92,77.89,38.1052099894,44.8725468376
93,78.12,37.4986230141,44.9216256186
94,77.83,37.3077284892,44.941301941
95,77.57,37.2557420833,44.937494774
96,77.82,39.8416105542,44.9604943495
97,78.2,37.6723199912,44.9446279239
98,79.76,37.6196763609,44.9940159058
99,80.52,37.8043779067,45.1098921083
100,80.21,35.4853190708,45.1587888227
101,79.7,36.7098631162,45.1581964444
102,81.21,38.7850568974,45.1272831702
103,80.85,35.2657206833,45.1875984529
104,80.37,36.9850731642,45.171832375
105,80.47,43.3259456727,45.2008900964
106,81.31,43.1346503347,45.2012354594
107,83.57,42.5481482619,45.2016126195
108,83.8,40.1775309421,45.2019651233
109,83.03,36.6963130916,45.202024937
110,82.66,39.0619277904,45.2022019944
111,83.12,41.3969518886,45.2016567895
112,83.25,41.5491183438,45.2020397131
113,80.89,40.795412445,45.2011955587
114,79.13,41.2939217158,45.1982207606
115,80.44,40.9795016176,45.1540038272
116,80.03,41.4684430475,45.1954915222
117,79.44,40.6838170747,45.2016525502
118,80.54,40.2682442783,45.2015508519
119,81.43,39.9941456302,45.2020806923
120,81.27,40.2868814853,45.2020111334
121,81.83,41.9149442268,45.2017942303
122,82.38,36.4753659615,45.1446015097
123,81.79,39.7316525385,45.202264572
124,82.05,39.5007114488,45.2022483325
125,81.44,40.129581317,45.2022129995
126,79.88,35.827167807,43.1824294604
127,79.23,35.4610781218,39.3483758513
128,81.18,35.5432421899,37.8590619019
129,82.49,35.6512965508,39.9174979836
130,79.79,35.02763963,43.0465277168
131,80.23,34.5395934342,40.0050205919
132,80.87,34.5849479406,39.2359642483
133,80.42,34.6807640123,39.6285068004
134,79.58,34.6827959129,37.6475493865
135,80.61,36.0261253564,37.0492866161
136,81.22,35.7758368272,37.8866835385
137,81.29,34.9880656368,40.12569312
138,82.74,34.7775158174,40.7403453031
139,88.22,34.0453152643,42.9016684195
140,88.12,33.8651855625,44.4926142091
141,88.34,33.9478268804,45.0716356293
142,87.57,33.8161479791,44.9752997341
143,89.05,35.3325137678,44.6171062733
144,87.53,34.1221392469,45.0719291979
145,87.99,35.6369371731,44.7472575236
146,88.49,34.2580332588,43.2525995962
147,88.7,32.458074973,44.6833380927
148,89.64,31.4539949304,44.8467242683
149,89.0,31.6236153333,45.0905532624
150,88.82,32.4551812873,45.1472807954
151,91.18,33.8410126311,45.1295724954
152,90.79,33.8960732267,45.1945723908
153,91.83,35.284204198,45.1992440265
154,91.58,34.001759304,45.1988794706
155,92.03,35.3120447121,45.2014078108
156,93.0,34.7240084041,45.2028930669
157,93.17,34.5249257767,45.2029986794
158,93.51,33.8315371771,45.2030569869
159,93.58,34.1525680226,45.2031345555
160,93.45,33.584248367,45.1949232861
161,94.26,34.2510972776,45.1934337956
162,94.55,34.1914447416,45.1934846479
163,93.49,33.56277448,45.1982707004
164,94.23,33.4336943351,45.1962367852
165,94.0,34.0124550959,45.1746094899
166,93.06,34.0543672522,45.1752314653
167,93.63,36.1228368743,45.186346573
168,92.22,35.2534670757,45.1849594036
169,93.04,36.5037546563,45.1960490918
170,92.18,36.5590521635,45.198114373
