id,Actual,SVM,ANN
60,34.33,23.3666147582,25.37401003
61,34.38,21.0810287116,25.2587059849
62,34.48,20.5949305088,25.2031432855
63,34.54,22.9425940268,24.6760180415
64,34.64,21.7658898743,25.3167712025
65,35.03,22.0678939086,25.3282618155
66,35.44,22.5163137736,25.4157934364
67,35.09,23.1766333964,25.4674901563
68,35.03,22.8624560671,25.4550588147
69,35.21,22.9828701816,25.4470481157
70,35.19,23.3856700511,25.4738189293
71,35.04,23.3852657021,25.4792806561
72,35.01,23.389649108,25.482114363
73,34.89,23.3819591837,25.51579075
74,34.93,23.3636730884,25.511153511
75,35.36,22.6691237053,25.484714971
76,35.27,23.6357296104,25.5249538718
77,34.59,22.8597782951,25.6132345025
78,34.48,21.3068115845,25.5871512721
79,34.29,20.7191749301,25.5524827288
80,33.93,21.7242516596,25.4664016686
81,34.08,22.327148071,25.1392231457
82,34.32,21.0003112888,25.113953711
83,34.12,23.160749052,24.628973832
84,33.46,20.0235743005,25.2085892796
85,33.58,19.7641138282,23.6449141198
86,34.02,19.2662798918,23.4160748663
87,33.96,19.5059714705,24.5447453753
88,33.78,19.2234698409,24.7736531122
89,33.53,19.7126560813,24.4706885115
90,33.94,19.7991854128,24.0193563495
91,33.99,20.0703546499,24.3540686406
92,33.98,20.1154171645,24.4133534671
93,34.21,20.6240119825,24.4185212316
94,34.3,20.4862868331,24.4289226912
95,34.36,20.700678081,24.7495898069
96,34.28,21.125455168,24.7768032635
97,34.11,20.8409445259,24.7762479553
98,34.3,18.6674989178,24.5110532045
99,34.44,19.7504638829,24.7642970084
100,34.75,19.9020660796,24.926351095
101,34.56,21.3035169564,25.0307748879
102,34.49,20.2389202886,25.3726812276
103,34.41,19.8577258283,25.3033281467
104,34.24,19.2927382394,25.2930439269
105,34.09,18.6699064433,25.2470761151
106,33.98,19.3642160775,25.0428169518
107,34.01,19.8334641393,25.0596133191
108,34.31,20.2732380393,25.0360588428
109,34.46,20.4091030235,25.2943604014
110,34.21,19.1694570869,25.3629007774
111,34.04,18.7899943979,25.1590850078
112,34.04,19.7785031214,24.8956686223
113,33.98,20.4331091829,25.0096741556
114,34.37,21.8552536837,25.1389629305
115,34.18,19.9651821418,25.3782928865
116,34.31,19.2033367907,25.4202760549
117,34.5,19.3890604677,25.3052737563
118,34.23,19.6969259427,25.2382994891
119,34.02,19.0202042658,25.1262023591
120,33.92,18.9681753538,24.8813833494
121,33.59,19.6793261474,24.8833665589
122,33.53,20.8022375833,24.3766551578
123,33.69,23.0796313745,23.9942392281
124,33.37,21.8453471471,24.0745091368
125,33.25,20.4129005911,24.1580380648
126,33.73,20.210829702,21.6358487231
127,33.45,18.1879370785,22.4986370157
128,33.86,19.155274953,22.0811311415
129,34.36,18.430196605,23.4774071691
130,34.82,18.3912388229,25.0628390756
131,35.08,18.9523045515,25.5515390011
132,34.98,19.8459973587,25.6586281013
133,35.1,19.6057122329,25.6875162747
134,35.07,21.0783736045,25.7240603456
135,35.24,21.2911542833,25.7260407592
136,35.14,23.3262559332,25.7124916236
137,34.88,22.9486357062,25.7620574402
138,34.78,22.8246781531,25.7457176818
139,34.26,22.5006257292,25.7235237355
140,34.34,20.5492427149,25.613765728
141,35.35,21.3621467587,25.3152047717
142,35.76,23.5484057654,25.7377344017
143,35.73,24.0022029927,25.7967423431
144,36.06,23.943482085,25.8062736968
145,36.15,24.2526010272,25.8122301957
146,36.11,23.5909752177,25.7804169825
147,35.82,24.1334042286,25.8044513948
148,35.17,24.7033793968,25.7989514113
149,35.19,25.6258077664,25.7658859787
150,35.36,26.6433660546,25.6858278462
151,35.12,26.645599259,25.7150370716
152,35.37,25.6867644311,25.660256663
153,35.36,25.9835178518,25.6629363295
154,35.32,25.0624082293,25.6914205938
155,35.5,24.9240689233,25.7263481137
156,35.52,25.1803134502,25.7438915554
157,35.27,24.6685028444,25.7192916424
158,34.55,24.7736622012,25.6933176751
159,33.54,24.9018815871,25.4232175131
160,32.13,23.6022675215,23.6144442671
161,31.34,23.6646185403,18.0719194924
162,32.43,23.4304843693,17.8504268151
163,33.26,23.2409183738,18.5672191747
164,32.66,22.7274699186,19.247843749
