id,Actual,SVM,ANN
136,131.22,77.7129138578,49.2710113479
137,132.41,77.3253579941,49.2710610737
138,135.64,76.9376868232,49.2710591471
139,134.62,77.8967012458,54.1567716229
140,134.07,77.2336454209,52.445791912
141,132.48,77.4144089443,49.1257457752
142,139.64,76.968323639,49.270960782
143,147.78,81.782899188,67.9987937854
144,145.37,81.9977340763,74.2065876078
145,146.26,81.1950362455,74.204705392
146,147.34,82.3472233475,73.7244498324
147,147.22,81.5143388129,74.2117507706
148,148.6,81.4178510419,74.2135444045
149,148.0,81.2597033748,74.2099171614
150,147.58,81.5511216609,74.2072075927
151,148.04,82.7272196834,74.2129207402
152,147.92,82.1729424884,74.2128152563
153,148.09,82.1502081499,74.2129480429
154,149.73,81.0811406111,74.212622463
155,149.92,80.573722037,74.2113126142
156,151.17,80.9450386802,74.2112895154
157,153.75,80.5937320187,74.2092161708
158,158.31,80.0806516986,74.1984659985
159,154.74,80.3605860619,74.1993044707
160,154.38,79.2022058636,74.2113703725
161,153.01,78.98019505,74.2124963637
162,151.73,79.0599641545,74.2126679502
163,150.85,79.0732517073,74.2129416358
164,153.8,79.142642555,74.2129616629
165,155.57,79.2795670175,74.2128497262
166,154.35,79.1574380089,74.2124782232
167,154.47,79.7295006602,74.2122961982
168,153.12,79.7919836265,74.2122960527
169,154.75,80.7365206188,74.212930756
170,152.42,80.9616317965,74.2129332229
171,151.17,81.5783722354,74.2122019038
172,152.04,82.3257520913,73.58136901
173,151.57,81.9000544006,74.2121984142
174,153.67,81.8807874908,74.2120603137
175,154.51,80.93702122,74.212221733
176,155.73,80.3148039868,74.2129123189
177,154.11,79.6125478768,74.2122956819
178,154.5,79.9183421957,74.2128874927
179,152.81,79.8072264633,74.2123252206
180,151.65,79.9756061175,74.2123051317
181,148.23,80.9814464216,74.2122198728
182,148.17,81.0162369559,74.2020771146
183,148.85,82.8023130277,70.8972952111
184,152.7,82.2638090026,71.2205491392
185,150.08,82.8810456009,74.2123342007
186,148.64,82.5756014963,74.2121752719
187,149.28,94.6912309801,74.2000788377
188,150.93,95.3174642022,74.2023423745
189,152.32,81.5577054108,74.2126294652
190,153.36,94.5764129316,74.2126346607
191,153.42,94.2029665377,74.2126372943
192,154.38,94.2022231949,74.2126356653
193,153.24,94.0171423183,74.2126350728
194,153.21,94.0992936397,74.2126355649
195,152.43,94.4369626141,74.2126347066
196,151.97,94.192558833,74.2126323854
197,149.6,94.5031837672,74.2126320111
198,152.67,94.4681648729,74.2125963886
199,153.33,94.120827961,74.2126337067
200,151.19,93.7894632255,74.2126363873
