+ACI-Date+ACI-,+ACI-Open+ACI-,+ACI-High+ACI-,+ACI-Low+ACI-,+ACI-Close+ACI-,+ACI-Volume+ACI-,+ACI-Adj Close+ACI-
08/06/12,571.599998,580.580017,568.999992,580.319984,86879100,77.522476
08/08/12,619.389984,623.88002,617.099998,619.860008,61176500,82.804459
08/10/12,646.880013,647.559975,636.109993,638.170013,159498500,85.616437
08/11/12,560.629974,562.230011,535.290009,537.749985,264036500,72.473665
09/07/12,605.299995,613.899979,604.110008,613.889992,94851400,82.00695
09/08/12,617.849976,621.730011,617.799988,620.729988,55410600,83.276696
09/10/12,638.650024,640.490013,623.550026,635.850014,209649300,85.305188
09/11/12,540.420006,554.87999,533.719986,547.059998,232478400,73.728395
10/07/12,617.969978,619.869995,605.309982,608.210022,127989400,81.248187
10/08/12,618.710022,621.760025,618.699982,621.699997,48734700,83.406832
10/09/12,680.45002,683.289978,662.100014,662.739975,121999500,88.912726
10/10/12,639.739983,644.979996,637,640.909996,127589000,85.984032
10/12/12,525,538.510002,521.580002,529.819977,157621100,71.404922
11/06/12,587.719994,588.499985,570.62999,571.169975,147816200,76.300165
11/07/12,606.119987,607.659996,597.220024,604.430016,117330500,80.743232
11/09/12,665.110016,670.099983,656.499992,660.590019,125995800,88.62429
11/10/12,646.499977,647.20002,628.099983,628.099983,136520300,84.265449
11/12/12,539.770004,549.559975,537.370003,541.390015,148086400,72.96424
12/06/12,574.459984,576.61998,566.70002,576.159996,108845100,76.966761
12/07/12,600.240013,603.469994,592.68,598.900009,107010400,80.004502
12/09/12,666.849976,669.899979,656.000008,669.790016,178058300,89.858555
12/10/12,629.55999,635.37999,625.300026,629.710007,115003700,84.481449
12/11/12,554.149986,554.500008,538.649979,542.829994,128950500,73.158309
12/12/12,547.769974,547.999992,536.270004,539,121786000,72.642132
01/02/13,459.110001,459.479996,448.350021,453.619995,134871100,61.135295
01/03/13,438.000011,438.179989,429.979988,430.470013,138112100,58.353438
01/04/13,441.899994,443.700008,427.73999,428.910004,97433000,58.141967
01/05/13,444.459999,444.929996,434.389996,439.290001,126727300,59.549054
01/07/13,402.689991,412.269997,401.219997,409.219994,97763400,55.840013
01/08/13,455.749977,456.799988,453.259987,456.679985,51562700,62.316154
01/10/13,478.449989,489.140007,478.379974,487.960007,88470900,67.024098
01/11/13,524.020004,524.799995,515.840004,520.030006,68722500,71.429096
02/01/13,553.819992,554.999992,541.63002,549.029976,140129500,73.993893
02/04/13,427.599987,438.139988,426.400013,429.789997,132379800,58.261257
02/05/13,441.779991,448.589973,440.630005,445.519997,105457100,60.393576
02/07/13,409.960011,421.629997,409.470013,418.490005,117466300,57.10495
02/08/13,458.010002,462.850006,456.660011,462.539986,68695900,63.115779
02/10/13,485.63002,491.799988,483.749977,489.55999,72296000,67.243865
02/12/13,558.000008,564.329979,550.819977,551.230026,118136200,76.156644
03/01/13,547.87999,549.669991,540.999992,542.099991,88241300,73.059925
03/04/13,431.370007,437.279995,430.310009,431.989994,90804000,58.559483
03/05/13,451.309982,453.230026,449.149986,449.980019,90325200,60.998166
03/06/13,450.729996,452.359993,442.480007,450.720009,93088100,61.502887
03/07/13,420.859993,422.979988,417.450008,420.799992,60232200,57.420159
03/09/13,493.099991,500.599976,487.350006,488.579994,82982200,67.109257
03/10/13,490.510025,492.350014,480.739975,483.409996,80688300,66.399128
03/12/13,558.299988,566.380013,557.68,566.319984,112742000,78.241437
04/01/13,536.969994,538.630005,525.829979,526.999992,148583400,71.024867
04/02/13,453.909988,455.939995,441.999996,442.320004,119279300,59.612372
04/03/13,427.799992,428.200001,419.000004,420.049988,145688900,56.940925
04/04/13,433.759995,434.999996,425.25,427.71999,89611900,57.980652
04/06/13,453.219986,454.43,447.389999,449.30999,73182200,61.310483
04/09/13,499.560005,502.240013,496.279984,498.690025,86258200,68.497927
04/10/13,483.859993,484.599983,478.600006,483.030014,64717100,66.346935
04/11/13,521.099991,526.820015,518.810005,526.75,61156900,72.352125
04/12/13,565.499992,569.19001,560.819992,565.000008,94452400,78.059073
